user_id,num_topics,tweets_per_day,delta_following_changes,delta_followers_changes,delta_bio_changes,activity_level,kmeans_cluster,pca1,pca2
@jakob_btc,6,1.6,0,0,0,medium,0,-0.07684946671199785,0.07647915043650834
@Cryptoforensick,6,1.5892857142857142,0,0,0,medium,0,-0.07712510962683128,0.07589977333514751
@christiancarpy,6,1.9364161849710984,14,1,0,medium,0,-0.014355943566278001,0.06649126322286807
@sharkputs,6,11.2,0,33,0,high,0,0.24314453911944325,0.5566479186989426
@sharonsizelove,6,2.833333333333333,3,-58,0,medium,0,-0.16239177865137353,0.2058493862282827
@DJMATT1820438,6,4.153846153846154,0,45,0,medium,0,0.08842243322159708,0.1614609985972993
@4547Blogazine,6,2.1724137931034484,0,0,0,medium,0,-0.06212316477928804,0.10743253856438414
@Breaking911,6,1.2727272727272727,0,0,0,medium,0,-0.08526910483781881,0.058781813522213504
@SolarHashToken,6,4.148936170212766,-404,-8,0,medium,0,-1.5187536838645324,1.0028780843366107
@shre_yaa__,6,1.4081632653061225,6,3,0,medium,0,-0.05302136778244318,0.0509932373002253
@DallasDietzenba,6,6.8,4,12,0,high,0,0.098231493850652,0.3357913267999275
@AiThority,6,5.5625,0,-24,0,high,0,-0.02801149535721366,0.3190816529493425
@windowintlpod,6,1.441860465116279,2,188,0,medium,0,0.34243834269645534,-0.15784402644453374
@Dev_Discourse,6,8.727272727272727,0,0,0,high,0,0.10651154136143602,0.4618878210144844
@Derek_Griffin1,6,1.2352941176470589,4,15,0,medium,0,-0.03829187361460583,0.03133757259011148
@Ihsan0622,6,2.108108108108108,12,24,0,medium,0,0.033577278318410356,0.052483434474825126
@leftzalwaysrite,6,2.75,-3,93,0,medium,0,0.14745136497722086,0.03467422270226968
@MahalaxmiRaman,6,16.333333333333332,18,94,0,high,0,0.5765569757898522,0.7275163478718754
@worldnewslatter,6,10.22222222222222,0,0,0,high,0,0.14497161675098846,0.5427275081538556
@striveedgeias,6,1.2941176470588236,0,0,0,medium,0,-0.08471880169234032,0.05993850220942231
@TheFocus_TV,6,5.576923076923077,0,-1,0,high,0,0.023250863783540732,0.2927124432139781
@DrewTCorbin1,6,14.8,-1,41,0,high,0,0.3497743100761644,0.7438039641114862
@EducatorMagUK,6,2.0,0,0,0,medium,0,-0.06655879789155005,0.0981092288873131
@2012j,6,33.666666666666664,-8,-14,0,high,3,0.6876412713701531,1.842444152461965
@TJVNEWS,6,4.0,-325,0,0,medium,0,-1.213565912840661,0.8330281797318845
@tcjposts,6,4.05,-113,6,0,medium,0,-0.41723861121035705,0.41980360300812913
@TShepstone,6,1.6666666666666667,33,26,0,medium,0,0.10408477318658771,-0.014247284349499257
@SteveKlinko,6,23.857142857142858,2,1,0,high,3,0.5053405549320951,1.2750010809689827
@offensive_guru,6,1.2448979591836735,14,17,0,medium,0,0.003256238253368242,0.010210920964976887
@LiveSquawk,6,3.0,0,0,0,medium,0,-0.04083212584043051,0.15218442501432503
@00x48x,6,1.2941176470588236,0,-8,0,medium,0,-0.102420123908266,0.06938168149593875
@consensualcex,5,2.0,0,0,0,medium,1,-0.1918143922184077,-0.07183758118278537
@RobertCFried,5,2.5,48,19,0,medium,1,0.04009297494525188,-0.15979642873197528
@cmdilapi,5,3.25,21,29,0,medium,1,-0.018049775613844306,-0.07897400241580099
@RyanClark85,5,4.25,18,26,0,medium,1,-0.010023811323401658,-0.015572058130894175
@FitSinEscusas,5,2.272727272727273,0,0,0,medium,1,-0.18479802711355695,-0.057089800420873034
@SatatSampada,5,9.0,0,0,0,high,1,-0.011727687860570869,0.30668879170629826
